L,a,b
0.696485,-0.163154,0.089179
0.651198,-0.081889,-0.042330
0.467644,-0.013458,-0.099580
0.753701,-0.128103,0.104076
0.789879,-0.092222,-0.067251
0.576959,-0.035474,0.057461
0.663066,-0.148397,0.069030
0.629077,-0.065205,-0.065697
0.468720,0.026591,-0.110631
0.754441,-0.120877,0.102279
0.777333,-0.105072,-0.059571
0.562349,-0.011857,0.053162
0.667619,-0.159809,0.094365
0.641176,-0.087516,-0.019808
0.474629,0.006880,-0.050731
0.741416,-0.090875,0.083351
0.781158,-0.097848,-0.055663
0.596864,-0.065822,0.078052
0.663907,-0.158447,0.091656
0.632169,-0.067757,-0.045779
0.476472,0.014592,-0.058561
0.739679,-0.093247,0.092976
0.783153,-0.097351,-0.078120
0.590052,-0.032516,0.065716
0.658471,-0.157334,0.091323
0.630549,-0.087494,-0.040802
0.462349,-0.004095,-0.106284
0.709195,-0.080343,0.078571
0.783717,-0.102540,-0.074905
0.608407,-0.058820,0.067040
0.677633,-0.161404,0.093645
0.633814,-0.091484,-0.024360
0.474252,-0.010571,-0.068612
0.727643,-0.114517,0.098362
0.791253,-0.104193,-0.064388
0.604017,-0.047213,0.058288
0.656403,-0.153555,0.083556
0.643413,-0.078437,-0.044099
0.465128,0.000697,-0.066740
0.738391,-0.103074,0.105961
0.773961,-0.107159,-0.067071
0.612342,-0.042647,0.078195
0.688158,-0.164942,0.099405
0.630705,-0.076798,-0.019901
0.434868,0.016659,-0.102457
0.782138,-0.116119,0.088674
0.807799,-0.105512,-0.060776
0.556460,-0.022756,0.054207
0.674385,-0.148880,0.067531
0.638011,-0.080955,-0.031279
0.435433,0.018899,-0.104855
0.745157,-0.114017,0.098714
0.747586,-0.080387,-0.094269
0.610340,-0.040231,0.062254
0.679929,-0.156674,0.081076
0.618859,-0.085010,-0.021993
0.457028,0.009267,-0.071661
0.747812,-0.115872,0.097566
0.773747,-0.091328,-0.085331
0.605599,-0.044569,0.073090
0.687797,-0.161384,0.091018
0.607269,-0.074097,-0.054129
0.483506,-0.014337,-0.066762
0.721153,-0.096643,0.093768
0.815937,-0.120755,-0.041595
0.625783,-0.059375,0.084409
0.682909,-0.163183,0.094941
0.641693,-0.079692,-0.029681
0.490943,0.001143,-0.044348
0.778394,-0.109752,0.092482
0.810096,-0.117016,-0.046709
0.618827,-0.040263,0.077711
0.660586,-0.149369,0.073084
0.646564,-0.075203,-0.052530
0.459247,-0.002916,-0.069139
0.753324,-0.121084,0.107355
0.818513,-0.118932,-0.030940
0.580861,-0.030137,0.047843
0.698125,-0.171958,0.108419
0.637868,-0.091556,-0.008185
0.439291,0.007296,-0.092209
0.747083,-0.088296,0.092873
0.794415,-0.119684,-0.032818
0.610826,-0.048224,0.069727
0.680183,-0.155083,0.077299
0.617951,-0.072425,-0.051517
0.453202,-0.017952,-0.065786
0.750808,-0.120236,0.096789
0.809492,-0.106523,-0.054543
0.592428,-0.018254,0.063231
0.666160,-0.160132,0.094565
0.638155,-0.082409,-0.024591
0.437685,0.027799,-0.086281
0.741708,-0.098208,0.092349
0.769698,-0.098972,-0.064674
0.576560,-0.043135,0.045009
0.659859,-0.153351,0.081676
0.623949,-0.078723,-0.040038
0.448478,0.010249,-0.077391
0.741615,-0.093185,0.093138
0.785941,-0.098137,-0.084276
0.600239,-0.043313,0.069421
0.657881,-0.160366,0.101528
0.602178,-0.072177,-0.058393
0.456714,-0.000337,-0.061382
0.753687,-0.115544,0.096856
0.791272,-0.101115,-0.060939
0.635345,-0.060622,0.087501
0.711925,-0.169406,0.097148
0.617959,-0.066195,-0.045813
0.437696,0.005773,-0.070547
0.778830,-0.126571,0.111066
0.789675,-0.109852,-0.052915
0.612829,-0.046209,0.078204
0.663217,-0.151755,0.079466
0.624492,-0.067764,-0.046515
0.487352,-0.011343,-0.033660
0.724408,-0.096334,0.085902
0.776781,-0.109375,-0.048179
0.602972,-0.033621,0.074218
0.666246,-0.152079,0.076116
0.641615,-0.084327,-0.034742
0.478423,-0.001792,-0.067224
0.742330,-0.117809,0.092098
0.775599,-0.098444,-0.064664
0.573092,-0.028689,0.042826
0.674109,-0.156184,0.082341
0.636020,-0.090879,-0.010699
0.484977,0.000777,-0.071278
0.745522,-0.104394,0.090644
0.785100,-0.101354,-0.061710
0.580020,-0.025488,0.060583
0.708549,-0.166874,0.094396
0.628547,-0.084602,-0.039910
0.472217,0.006582,-0.105350
0.731666,-0.102851,0.086289
0.780242,-0.104082,-0.056989
0.586496,-0.043694,0.079889
0.663127,-0.163492,0.104088
0.657789,-0.083387,-0.018759
0.493262,-0.013226,-0.063045
0.740219,-0.113296,0.074643
0.758269,-0.096208,-0.051829
0.617179,-0.067874,0.079593
0.670773,-0.157234,0.088568
0.622671,-0.062913,-0.039851
0.480748,-0.014814,-0.032448
0.734959,-0.108932,0.097773
0.774221,-0.102427,-0.056819
0.614921,-0.049354,0.082634
0.698619,-0.169751,0.104622
0.596230,-0.074383,-0.046148
0.459258,0.013307,-0.063128
0.743929,-0.099730,0.102054
0.789448,-0.112628,-0.042591
0.615369,-0.040800,0.066821
0.726031,-0.174369,0.104139
0.655365,-0.092514,-0.015235
0.481344,-0.005391,-0.084018
0.757245,-0.104652,0.089119
0.784882,-0.098446,-0.070061
0.579461,-0.039056,0.053200
0.685655,-0.164552,0.096731
0.652511,-0.071835,-0.044707
0.487132,0.003804,-0.062176
0.751811,-0.100443,0.100607
0.781151,-0.098341,-0.049132
0.592940,-0.023686,0.065448
0.715816,-0.170828,0.101145
