config,seed,plugin_H,mm_term
baseline,1,4.574810,0.031128
baseline,2,4.496055,0.031128
baseline,3,4.437377,0.031128
baseline,4,4.649097,0.031128
baseline,5,4.561907,0.031128
baseline,6,4.497205,0.031128
baseline,7,4.554827,0.031128
baseline,8,4.440202,0.031128
baseline,9,4.360840,0.031128
baseline,10,4.570753,0.031128
baseline,11,4.593421,0.031128
baseline,12,4.499217,0.031128
spread=0.02,1,4.574810,0.031128
spread=0.02,2,4.496055,0.031128
spread=0.02,3,4.437377,0.031128
spread=0.02,4,4.649097,0.031128
spread=0.02,5,4.561907,0.031128
spread=0.02,6,4.497205,0.031128
spread=0.02,7,4.554827,0.031128
spread=0.02,8,4.440202,0.031128
spread=0.02,9,4.360840,0.031128
spread=0.02,10,4.570753,0.031128
spread=0.02,11,4.593421,0.031128
spread=0.02,12,4.499217,0.031128
spread=0.06,1,4.574810,0.031128
spread=0.06,2,4.496055,0.031128
spread=0.06,3,4.437377,0.031128
spread=0.06,4,4.649097,0.031128
spread=0.06,5,4.561907,0.031128
spread=0.06,6,4.497205,0.031128
spread=0.06,7,4.554827,0.031128
spread=0.06,8,4.440202,0.031128
spread=0.06,9,4.360840,0.031128
spread=0.06,10,4.570753,0.031128
spread=0.06,11,4.593421,0.031128
spread=0.06,12,4.499217,0.031128
spread=0.12,1,4.574810,0.031128
spread=0.12,2,4.496055,0.031128
spread=0.12,3,4.437377,0.031128
spread=0.12,4,4.649097,0.031128
spread=0.12,5,4.561907,0.031128
spread=0.12,6,4.497205,0.031128
spread=0.12,7,4.554827,0.031128
spread=0.12,8,4.440202,0.031128
spread=0.12,9,4.360840,0.031128
spread=0.12,10,4.570753,0.031128
spread=0.12,11,4.593421,0.031128
spread=0.12,12,4.499217,0.031128
spread=0.18,1,4.574810,0.031128
spread=0.18,2,4.496055,0.031128
spread=0.18,3,4.437377,0.031128
spread=0.18,4,4.649097,0.031128
spread=0.18,5,4.561907,0.031128
spread=0.18,6,4.497205,0.031128
spread=0.18,7,4.554827,0.031128
spread=0.18,8,4.440202,0.031128
spread=0.18,9,4.360840,0.031128
spread=0.18,10,4.570753,0.031128
spread=0.18,11,4.593421,0.031128
spread=0.18,12,4.499217,0.031128
clusters=4,1,4.563259,0.031128
clusters=4,2,4.501989,0.031128
clusters=4,3,4.432039,0.031128
clusters=4,4,4.635689,0.031128
clusters=4,5,4.555263,0.031128
clusters=4,6,4.495324,0.031128
clusters=4,7,4.545656,0.031128
clusters=4,8,4.458753,0.031128
clusters=4,9,4.354511,0.031128
clusters=4,10,4.581963,0.031128
clusters=4,11,4.578993,0.031128
clusters=4,12,4.496147,0.031128
clusters=12,1,4.566015,0.031128
clusters=12,2,4.496472,0.031128
clusters=12,3,4.465834,0.031128
clusters=12,4,4.641746,0.031128
clusters=12,5,4.550283,0.031128
clusters=12,6,4.523585,0.031128
clusters=12,7,4.552380,0.031128
clusters=12,8,4.496317,0.031128
clusters=12,9,4.357050,0.031128
clusters=12,10,4.593265,0.031128
clusters=12,11,4.590403,0.031128
clusters=12,12,4.499080,0.031128
clusters=32,1,4.564744,0.031128
clusters=32,2,4.497571,0.031128
clusters=32,3,4.510969,0.031128
clusters=32,4,4.577178,0.031128
clusters=32,5,4.513971,0.031128
clusters=32,6,4.612411,0.031128
clusters=32,7,4.620094,0.031128
clusters=32,8,4.533179,0.031128
clusters=32,9,4.347053,0.031128
clusters=32,10,4.572445,0.031128
clusters=32,11,4.555927,0.031128
clusters=32,12,4.489212,0.031128
clusters=64,1,4.591032,0.031128
clusters=64,2,4.473653,0.031128
clusters=64,3,4.573443,0.031128
clusters=64,4,4.481128,0.031128
clusters=64,5,4.497319,0.031128
clusters=64,6,4.601457,0.031128
clusters=64,7,4.582012,0.031128
clusters=64,8,4.646110,0.031128
clusters=64,9,4.442546,0.031128
clusters=64,10,4.574907,0.031128
clusters=64,11,4.475827,0.031128
clusters=64,12,4.603437,0.031128
gamut=0.4,1,4.574810,0.031128
gamut=0.4,2,4.496055,0.031128
gamut=0.4,3,4.437377,0.031128
gamut=0.4,4,4.649097,0.031128
gamut=0.4,5,4.561907,0.031128
gamut=0.4,6,4.497205,0.031128
gamut=0.4,7,4.554827,0.031128
gamut=0.4,8,4.440202,0.031128
gamut=0.4,9,4.360840,0.031128
gamut=0.4,10,4.570753,0.031128
gamut=0.4,11,4.593421,0.031128
gamut=0.4,12,4.499217,0.031128
gamut=0.7,1,4.574810,0.031128
gamut=0.7,2,4.496055,0.031128
gamut=0.7,3,4.437377,0.031128
gamut=0.7,4,4.649097,0.031128
gamut=0.7,5,4.561907,0.031128
gamut=0.7,6,4.497205,0.031128
gamut=0.7,7,4.554827,0.031128
gamut=0.7,8,4.440202,0.031128
gamut=0.7,9,4.360840,0.031128
gamut=0.7,10,4.570753,0.031128
gamut=0.7,11,4.593421,0.031128
gamut=0.7,12,4.499217,0.031128
gamut=1.0,1,4.574810,0.031128
gamut=1.0,2,4.496055,0.031128
gamut=1.0,3,4.437377,0.031128
gamut=1.0,4,4.649097,0.031128
gamut=1.0,5,4.561907,0.031128
gamut=1.0,6,4.497205,0.031128
gamut=1.0,7,4.554827,0.031128
gamut=1.0,8,4.440202,0.031128
gamut=1.0,9,4.360840,0.031128
gamut=1.0,10,4.570753,0.031128
gamut=1.0,11,4.593421,0.031128
gamut=1.0,12,4.499217,0.031128
conc_skew=0.0,1,5.302537,0.031128
conc_skew=0.0,2,5.278647,0.031128
conc_skew=0.0,3,5.263774,0.031128
conc_skew=0.0,4,5.311947,0.031128
conc_skew=0.0,5,5.301915,0.031128
conc_skew=0.0,6,5.275733,0.031128
conc_skew=0.0,7,5.302470,0.031128
conc_skew=0.0,8,5.271580,0.031128
conc_skew=0.0,9,5.283668,0.031128
conc_skew=0.0,10,5.272308,0.031128
conc_skew=0.0,11,5.303008,0.031128
conc_skew=0.0,12,5.285452,0.031128
conc_skew=1.0,1,4.574810,0.031128
conc_skew=1.0,2,4.496055,0.031128
conc_skew=1.0,3,4.437377,0.031128
conc_skew=1.0,4,4.649097,0.031128
conc_skew=1.0,5,4.561907,0.031128
conc_skew=1.0,6,4.497205,0.031128
conc_skew=1.0,7,4.554827,0.031128
conc_skew=1.0,8,4.440202,0.031128
conc_skew=1.0,9,4.360840,0.031128
conc_skew=1.0,10,4.570753,0.031128
conc_skew=1.0,11,4.593421,0.031128
conc_skew=1.0,12,4.499217,0.031128
conc_skew=3.0,1,3.939803,0.031128
conc_skew=3.0,2,3.840365,0.031128
conc_skew=3.0,3,3.647061,0.031128
conc_skew=3.0,4,4.018593,0.031128
conc_skew=3.0,5,3.794872,0.031128
conc_skew=3.0,6,3.736051,0.031128
conc_skew=3.0,7,3.781161,0.031128
conc_skew=3.0,8,3.692742,0.031128
conc_skew=3.0,9,3.693015,0.031128
conc_skew=3.0,10,3.837845,0.031128
conc_skew=3.0,11,3.978990,0.031128
conc_skew=3.0,12,3.829171,0.031128
pop_drift=0.0,1,4.639179,0.031128
pop_drift=0.0,2,4.559521,0.031128
pop_drift=0.0,3,4.502034,0.031128
pop_drift=0.0,4,4.713619,0.031128
pop_drift=0.0,5,4.624030,0.031128
pop_drift=0.0,6,4.560921,0.031128
pop_drift=0.0,7,4.618027,0.031128
