config,seed,method,k,distortion
baseline,1,kmeans,4,0.009272
baseline,1,median_cut,4,0.011584
baseline,1,kmeans,16,0.002002
baseline,1,median_cut,16,0.003195
baseline,1,kmeans,64,0.000605
baseline,1,median_cut,64,0.000864
baseline,1,kmeans,256,0.000165
baseline,1,median_cut,256,0.000221
baseline,2,kmeans,4,0.007523
baseline,2,median_cut,4,0.007958
baseline,2,kmeans,16,0.001897
baseline,2,median_cut,16,0.002905
baseline,2,kmeans,64,0.000556
baseline,2,median_cut,64,0.000758
baseline,2,kmeans,256,0.000172
baseline,2,median_cut,256,0.000198
baseline,3,kmeans,4,0.010772
baseline,3,median_cut,4,0.011254
baseline,3,kmeans,16,0.002500
baseline,3,median_cut,16,0.003813
baseline,3,kmeans,64,0.000706
baseline,3,median_cut,64,0.000836
baseline,3,kmeans,256,0.000218
baseline,3,median_cut,256,0.000287
baseline,4,kmeans,4,0.008883
baseline,4,median_cut,4,0.011026
baseline,4,kmeans,16,0.002089
baseline,4,median_cut,16,0.002947
baseline,4,kmeans,64,0.000658
baseline,4,median_cut,64,0.000875
baseline,4,kmeans,256,0.000244
baseline,4,median_cut,256,0.000289
baseline,5,kmeans,4,0.009467
baseline,5,median_cut,4,0.011038
baseline,5,kmeans,16,0.002236
baseline,5,median_cut,16,0.003162
baseline,5,kmeans,64,0.000673
baseline,5,median_cut,64,0.000836
baseline,5,kmeans,256,0.000201
baseline,5,median_cut,256,0.000233
baseline,6,kmeans,4,0.010752
baseline,6,median_cut,4,0.010547
baseline,6,kmeans,16,0.002137
baseline,6,median_cut,16,0.002292
baseline,6,kmeans,64,0.000703
baseline,6,median_cut,64,0.000753
baseline,6,kmeans,256,0.000255
baseline,6,median_cut,256,0.000253
baseline,7,kmeans,4,0.010932
baseline,7,median_cut,4,0.012370
baseline,7,kmeans,16,0.003198
baseline,7,median_cut,16,0.003223
baseline,7,kmeans,64,0.000829
baseline,7,median_cut,64,0.001097
baseline,7,kmeans,256,0.000202
